question	category
利息和违约金能否同时适用	905
社保个人重要信息变更需要提交什么资料？	322
公司聚餐,回家路上出车祸算不算工伤	703
公司不按照实际工资比例为我缴纳公积金我该怎么办？	309
多份遗嘱并存，该谁继承？	407
别人刷我的信用卡不还钱怎么办 ？	866
新生婴儿残疾，医院因未履行告知义务，由谁担责？	2469
针对业主大会、业主委员会作出违法决议的情况，业主们有哪些救济途径?	2114
交通事故诉讼流程是怎样的呢？	616
亲人离去如何办理遗产继承公证	975
申请撤销终局裁决包括哪些情形?	3847
内部调岗	1792
婚前继承房子是否共同财产	54
过继孩子的手续是什么样的？	1187
老板不跟我签劳动合同	132
工伤申请仲裁开庭需要注意哪些事项？	350
再婚儿媳、女婿对原公婆、岳父母的遗产有继承权吗？	364
什么是交强险赔偿限额?	714
要交多少的诉讼费	2074
对责任的认定不服怎么办？	732
员工失职可以轻易开除吗？	467
对法律援助机构作出的不予援助的决定不服，发起重新审议，需要多长时间？	1077
减刑后的最低执行刑期为多少年？	3427
发生交通事故，我没买交强险，有什么责任？	718
你好，女方婚前患有双相情感障碍，婚后发病，现男方能否申请婚姻无效？	1902
婚姻法规定结婚几年可以分财产？	1903
什么人可以担任人民调解员？	3193
医院管理不严，“非正式护工”护理不当，患者可不可以要求医院承担责任？	2432
婚前买车首付婚后还贷离婚后怎么分？	69
业主可不可以看物业承接验收的资料？	2098
怎么计算丧葬费的赔偿？	2480
在哪里可以做伤残鉴定?	667
交警部门迟迟不出《道路交通事故认定书》怎么办?	740
我还不起钱怎么办？	834
交通事故的处理方法,交通事故后是选择诉讼还是和解?	803
请律师一般要多少钱?	648
对方不还钱，可以搬走担保人的财产抵债吗？	821
继承人以外的对被继承人扶养较多的人是否可以分得适当遗产？	403
抱养孩子有哪些条件?	1223
酒驾被抓	748
仲裁员有哪些违法行为可以申请撤销仲裁裁决?	3851
被政府单位辞退  无补偿	1326
单位未缴纳医保,会导致什么后果?	551
驾驶证被扣了一般可多少天可以拿出来?	761
劳动争议向那个法院起诉？	3801
工伤死亡的赔偿金该如何计算？	202
去法院起诉要花多少钱？	1249
收养法规定在什么情况下不能送养?	1161
申请强制执行所需材料？	815
劳动者要怎么证明与单位之间存在劳动关系？	263
能年休几天？	211
患者名誉权是指？	2359
公司未买社保，有何补偿？	301
劳动者在什么情况下解除劳动合同可以要求单位支付经济补偿？	236
什么情形下的仲裁协议才是有效的？	2061
留置送达	1664
出了交通事故未及时报案，事后再报警有用吗？	739
我可以提前退休吗？	197
不服仲裁裁决到哪级法院起诉?	261
法定继承人包括哪些？	272
劳动合同由公司工作人员代签可以吗？	144
职工没有办交接手续就离职了，企业还要为其缴纳社保吗？	493
中国遗产税如何征收？	913
交警扣车需要交停车费么	758
死亡赔偿金是否属遗产？	391
法定节假日不放假怎么办？	317
工伤7级	2006
职工养病期间单位是否支付工资？	595
孩子不是亲生的，抚养费要给吗	22
患者或其家属进行医闹活动该承担什么法律责任？	2456
如何办理监护人公证	1035
结婚登记需要什么材料	367
什么情况下不能送养？	1161
没有房产证的房子 离婚时怎么分配?	46
公证处公证要花多少钱	1004
未出生的孩子有继承权吗？	374
用工单位跟劳动者不签订劳动合同属于违法吗?	134
你好，我想咨询一下，离婚后想要复婚，婚姻法有没有时间要求	1869
家属因药费贵而不愿给患者用药导致其死亡，可以找医院承担责任吗？	2435
试用期考核	1810
部门组织聚餐,员工不幸发生交通事故是否属工伤	703
单位未给缴社保,员工辞职有补偿吗?	301
领取失业金需要什么材料呀？	324
怎样写赡养协议?内容格式上需要注意什么?	1204
如何诉讼离婚？	93
津贴的范围包括哪些？	2848
未成年人可以放弃继承权吗？	387
什么情况下子女可以不赡养老人？	1213
你好,请问遗嘱公证如何办?	976
公司未在办结工作交接时支付经济补偿金？	496
上班路上出了车祸,肇事者逃逸了,怎么办	754
工伤认定的注意事项具体是什么？	560
员工出差期间突发疾病死亡是不是工伤？	573
未签订书面劳动合同的法律责任是怎么样的?	433
车祸赔偿是先赔交强险还是商业险？	711
法律援助需要付费吗？	1079
患者在等待诊疗的过程中猝死，谁来承担责任？	2433
继承房屋要征收多少的遗产税？	913
精神损失费是怎么计算?	651
业主能否以物业提供的服务有瑕疵而不交物业费？	2256
逾期付款利息与违约金都要支付吗？	905
不定时工作制下，员工的工作时间是否不受加班时间的限制？	3004
用人单位须将支付劳动者工资的书面记录保存多久？	3775
劳动者的年休假工资如何计算？	1242
业主房款还未还清物业公司有权停水停电吗？	2067
劳动合同没到期我可不可以辞职？	232
哪些职工可以办理提前退休？	264
单位未给员工缴纳社保，如何维权？	303
我儿子不养我了	1211
请问法定婚假有多少天?	351
婚前个人债务，婚后会变成夫妻共同债务吗？	838
网贷逾期不还会怎么样？	852
公司不和我协商就把我调岗了，是不是违法了？	262
事实收养孩子需要办理公证吗	1143
能否让美容医疗机构履行保密义务？	2502
上班途中发生交通事故算是工伤吗？	577
中国同性恋可以领结婚证吗	130
孙子的赡养义务	1203
离职员工没有完成交接工作，公司是否有权利不支付工资？	494
交通事故后去哪里做伤残鉴定	667
员工请假超过15天起,社保是自己交还是公司交？	490
探亲假期间工资怎么计算？	240
开发商交房条件有哪些不符合交房条件咋办？	946
未再婚声明书公证怎么办	1001
